x,y
4.373810,20.643561
3.567858,18.121468
5.610197,-16.057803
5.300168,-11.012668
4.097677,23.916338
5.886453,-8.356848
5.869812,-9.289369
2.557400,-14.823441
2.898847,-3.628059
6.151732,17.455313
2.775040,-7.951124
2.514483,-16.017749
4.666423,12.683122
4.546732,16.430220
4.062434,24.011172
4.055668,24.020998
4.879166,4.817047
3.464518,15.441248
4.585321,15.289193
4.821224,7.070716
4.299998,21.951961
1.630493,-20.728236
5.297753,-10.939121
4.493985,17.876876
3.611496,19.126839
4.402205,20.059289
4.954089,1.838068
6.303763,43.744811
1.729146,-22.382975
6.358492,55.728425
3.124260,4.448431
1.287187,-11.078987
2.193926,-22.550216
1.996316,-24.006975
5.944149,-4.562588
3.104418,3.744256
5.618846,-16.031483
2.928307,-2.576147
5.939605,-4.894208
1.643731,-20.982261
6.072370,7.344249
3.556537,17.847812
5.453043,-14.760241
5.889008,-8.207462
2.242552,-21.868051
4.052477,24.024697
1.144745,-5.754139
5.631405,-15.972568
1.909856,-23.942775
6.165887,19.503130
4.159935,23.569172
4.254548,22.602631
4.672634,12.472816
2.919316,-2.897793
1.908522,-23.938336
5.888557,-8.233967
4.794633,8.082603
6.249168,33.174079
3.654124,20.029717
1.132523,-5.276229
3.598699,18.840319
2.425399,-18.282001
1.398696,-14.797194
2.431517,-18.136424
5.198811,-7.645272
5.986648,-1.174598
1.010204,-0.408320
5.755041,-13.944222
3.232318,8.201116
4.885838,4.554051
5.080465,-3.191142
2.459547,-17.450235
5.482907,-15.239239
2.324749,-20.446845
1.832119,-23.508334
5.112800,-4.446165
5.279788,-10.380617
5.257163,-9.650201
3.074516,2.677189
3.229360,8.100743
3.779558,22.193293
1.612605,-20.369546
4.331914,21.423996
6.196936,24.269111
5.635717,-15.946579
2.942299,-2.074738
5.333565,-11.990052
2.460915,-17.415950
1.256076,-9.962696
3.051645,1.857425
2.506255,-16.239387
4.586186,15.262863
3.494686,16.264585
3.477733,15.805862
1.862298,-23.719526
5.181587,-7.024787
1.915635,-23.960779
1.695570,-21.882131
4.206450,23.159930
6.208127,26.081696
5.218149,-8.327335
5.441553,-14.550870
5.072641,-2.884450
5.831688,-11.168993
3.572499,18.232144
4.351421,21.072858
3.164248,5.855436
5.695763,-15.262068
6.283423,39.650081
6.259081,34.994991
1.749196,-22.650874
4.660003,12.898968
3.511604,16.711998
6.270959,37.233546
3.404574,13.714641
2.422225,-18.356915
1.712521,-22.143122
1.183569,-7.254301
3.942544,23.789975
3.238342,8.405053
1.200371,-7.893726
5.199631,-7.674530
4.066066,24.004787
4.347584,21.143627
3.499824,16.401585
2.438705,-17.963460
3.657789,20.103544
5.966857,-2.817591
3.537263,17.370158
3.395151,13.432951
2.934818,-2.342952
3.035935,1.293039
6.413216,69.195923
3.188359,6.694279
2.161969,-22.931356
3.451672,15.081121
