x,y,z
-0.337463,-0.186110,3.944117
0.635773,-0.656389,2.965131
-0.519439,-0.749802,2.880030
0.888251,0.811038,1.946297
-0.439741,-0.574669,3.489017
-0.111778,-0.438274,3.857085
-0.647725,-0.371058,3.347344
0.324864,-0.331054,3.909497
-0.255467,-0.403085,3.881015
-0.469054,-0.481066,3.629888
-0.040933,0.043734,3.999974
-0.362101,0.784202,2.866596
0.137370,0.487157,3.785449
-0.174002,0.380555,3.914315
-0.489446,0.797286,2.736993
-0.978213,0.699746,1.855796
-0.435606,-0.903353,2.350261
0.690239,-0.972457,1.885652
-0.694510,0.038007,3.245021
-0.491746,0.617988,3.321353
-0.719763,-0.985331,1.809147
-0.489093,0.429995,3.664988
-0.582333,0.640095,3.118013
0.913939,0.724473,2.027186
0.903994,-0.049546,2.398323
-0.647793,-0.835491,2.404768
0.954494,0.519046,2.102377
0.633555,0.315004,3.415996
-0.709066,-0.522867,3.013129
0.861664,0.095610,2.578420
-0.170688,0.870375,2.540109
-0.453377,-0.260693,3.820915
-0.763814,0.072271,2.984192
-0.633250,0.436202,3.341661
0.749070,0.875526,2.102572
-0.701337,0.849123,2.270411
0.867623,-0.443889,2.491457
-0.980123,0.448281,2.037474
-0.216086,-0.168826,3.988065
-0.694091,-0.699573,2.718113
0.427830,-0.594342,3.453386
0.355298,-0.652456,3.341253
0.664061,0.974372,1.908559
0.022575,-0.160771,3.997328
0.534464,-0.498194,3.498954
-0.650449,-0.548494,3.150826
0.296005,0.972032,2.104806
-0.080161,0.712342,3.180846
0.488365,-0.666210,3.190118
0.130252,0.471342,3.810815
-0.586336,-0.641365,3.107037
-0.860303,0.732354,2.179311
-0.891025,0.114112,2.453256
-0.391989,-0.030909,3.907735
0.063084,-0.884055,2.483177
0.480137,0.253346,3.783349
0.334949,0.043325,3.950265
0.546340,0.078674,3.672646
-0.476063,0.365607,3.741006
0.385914,-0.691836,3.196743
-0.674127,-0.767234,2.575612
-0.657059,-0.372150,3.317935
-0.091636,0.555861,3.651168
0.708443,-0.521342,3.017119
-0.192798,-0.240475,3.981186
-0.413428,0.101850,3.886053
0.895516,-0.624535,2.228093
-0.518778,0.874515,2.413545
0.683746,0.005247,3.282552
0.605793,0.026093,3.525228
-0.819116,-0.222991,2.753594
0.853117,-0.119663,2.614532
-0.768607,0.944830,1.864009
-0.527069,0.928581,2.196993
-0.678934,0.114230,3.298571
-0.817241,0.483285,2.665565
0.251441,0.386376,3.897558
-0.483806,0.449592,3.650816
-0.594000,0.704795,2.917069
-0.084446,-0.641530,3.420460
-0.247676,0.267450,3.964795
0.962846,0.584164,2.024379
-0.302698,-0.398780,3.869653
-0.151279,-0.862098,2.575844
-0.600728,-0.181633,3.535697
0.785152,0.744579,2.370533
0.531992,-0.784478,2.741937
0.444179,-0.798698,2.766508
0.820284,0.555220,2.584351
-0.007154,0.545015,3.675681
0.968289,-0.651812,1.942153
0.724343,0.602354,2.843074
-0.531220,-0.623333,3.250448
0.092812,0.005032,3.999703
-0.945580,0.426566,2.182735
-0.792968,-0.338751,2.839790
-0.361356,-0.029996,3.932937
0.556758,0.644948,3.151820
-0.219485,-0.015711,3.990738
-0.804446,0.687821,2.435160
-0.287570,0.761478,2.978266
0.424843,0.583445,3.482941
0.502111,-0.644674,3.235489
-0.400488,-0.871296,2.496809
0.814170,-0.498462,2.664652
-0.900355,-0.859554,1.815698
-0.128653,0.484876,3.789500
0.711788,-0.225599,3.176428
0.745046,0.124048,3.057249
-0.036431,-0.840234,2.669462
0.244270,-0.698743,3.220768
0.151905,0.342617,3.943560
-0.939408,0.561718,2.129539
0.736524,-0.801741,2.342677
0.480472,-0.283110,3.774591
0.907966,-0.689221,2.099421
0.887271,-0.724194,2.111021
0.071688,-0.172656,3.996343
0.634534,-0.959436,1.990579
-0.776141,0.021744,2.934962
0.447296,-0.778615,2.841800
0.273414,-0.539491,3.668720
-0.789030,0.052031,2.882676
-0.070356,-0.920118,2.329934
0.539242,0.061596,3.688103
0.522294,0.408071,3.629287
0.855164,-0.954868,1.690521
-0.778912,-0.668365,2.551604
-0.582479,0.531601,3.347350
-0.089551,-0.142713,3.998084
