x,y
1.493923,1.129466
1.265079,1.176186
1.073106,1.067371
1.251243,1.172261
1.472222,1.143926
1.346898,1.184815
1.249091,1.171590
1.045839,1.043642
1.109699,1.096345
1.476296,1.141386
1.015900,1.015643
1.226837,1.163710
1.048690,1.046204
1.171884,1.137262
1.337013,1.185158
1.188862,1.146457
1.328782,1.185144
1.003488,1.003475
1.230398,1.165085
1.044992,1.042877
1.298876,1.182851
1.029535,1.028637
1.065165,1.060641
1.175657,1.139382
1.255427,1.173519
1.276161,1.178835
1.170299,1.136358
1.340406,1.185085
1.329073,1.185149
1.137832,1.116216
1.364600,1.183199
1.185937,1.144936
1.350690,1.184577
1.443772,1.159445
1.278767,1.179393
1.160462,1.130583
1.085363,1.077454
1.289033,1.181347
1.403750,1.174919
1.417754,1.170330
1.287592,1.181096
1.068098,1.063145
1.342343,1.185022
1.411153,1.172602
1.006745,1.006699
1.229637,1.164794
1.049778,1.047176
1.490020,1.132237
1.009124,1.009040
1.390265,1.178518
1.247277,1.171011
1.187274,1.145635
1.066223,1.061547
1.377217,1.181249
1.135778,1.114839
1.142518,1.119312
1.084122,1.076450
1.434375,1.163735
1.038315,1.036791
1.456392,1.153035
1.452517,1.155083
1.358730,1.183879
1.141142,1.118409
1.163831,1.132593
1.185511,1.144712
1.117987,1.102423
1.368322,1.182694
1.112955,1.098755
1.014387,1.014177
1.133702,1.113436
1.211943,1.157503
1.331106,1.185175
1.040706,1.038982
1.061750,1.057702
1.026575,1.025850
1.095299,1.085352
1.364248,1.183244
1.149365,1.123723
1.472232,1.143920
1.080339,1.073366
1.072392,1.066772
1.261386,1.175205
1.298396,1.182787
1.048578,1.046103
1.229924,1.164904
1.384428,1.179831
1.122828,1.105888
1.299076,1.182878
1.155331,1.127456
1.454941,1.153810
1.232945,1.166041
1.290391,1.181576
1.394656,1.177434
1.297598,1.182677
1.176301,1.139739
1.246739,1.170837
1.043878,1.041868
1.113088,1.098853
1.138641,1.116755
1.171834,1.137233
1.028700,1.027852
1.132388,1.112541
1.318646,1.184757
1.267366,1.176769
1.027372,1.026602
1.237231,1.167601
1.418767,1.169964
1.139662,1.117432
1.030308,1.029361
1.253129,1.172836
1.452367,1.155161
1.168005,1.135037
1.348514,1.184721
1.489679,1.132476
1.171969,1.137310
1.490937,1.131592
1.391476,1.178227
1.360617,1.183676
1.197809,1.150941
1.053327,1.050332
1.077308,1.070869
1.481689,1.137901
1.381028,1.180527
1.226365,1.163525
1.279824,1.179612
1.408215,1.173551
1.061771,1.057720
1.336283,1.185168
1.291604,1.181775
1.215222,1.158932
1.160627,1.130682
1.052719,1.049793
1.227150,1.163832
1.076289,1.070025
1.042332,1.040464
1.483860,1.136458
1.341497,1.185051
1.178215,1.140794
1.489865,1.132345
1.220046,1.160971
1.136119,1.115069
1.339643,1.185105
1.498158,1.126373
1.366541,1.182943
1.062786,1.058596
1.387841,1.179081
1.212000,1.157528
1.486774,1.134484
1.077037,1.070645
1.149629,1.123890
1.328051,1.185130
1.237284,1.167620
1.033052,1.031924
1.090481,1.081554
1.397614,1.176656
1.142373,1.119217
1.239845,1.168522
1.286273,1.180860
1.321910,1.184926
1.469868,1.145357
1.399978,1.176006
1.136646,1.115423
1.093214,1.083715
1.090940,1.081918
1.075223,1.069139
1.168619,1.135392
1.273867,1.178323
1.081143,1.074024
1.239467,1.168391
1.244225,1.170012
1.375057,1.181631
1.428922,1.166038
1.259544,1.174697
1.109890,1.096487
1.428169,1.166345
1.273560,1.178253
1.377663,1.181168
1.456822,1.152803
1.076346,1.070072
1.129092,1.110276
1.175826,1.139476
1.460127,1.150993
1.110549,1.096977
1.298599,1.182814
1.471282,1.144501
1.361908,1.183529
1.461748,1.150087
1.050995,1.048262
1.429130,1.165952
1.296957,1.182587
1.369696,1.182493
1.466173,1.147548
1.426660,1.166953
1.245035,1.170280
1.289313,1.181395
1.148137,1.122941
1.330617,1.185170
1.485541,1.135324
1.466516,1.147347
1.370041,1.182441
1.411913,1.172350
1.033354,1.032204
1.269535,1.177304
1.239081,1.168255
1.006819,1.006772
1.063762,1.059437
1.089076,1.080434
1.458562,1.151857
1.380050,1.180718
1.373600,1.181877
1.361954,1.183524
1.346133,1.184855
1.019810,1.019410
1.437755,1.162239
1.339581,1.185107
1.191250,1.147678
1.094813,1.084972
1.353864,1.184333
1.079942,1.073040
1.337245,1.185155
1.155078,1.127299
1.046966,1.044657
1.014921,1.014695
1.045914,1.043709
1.154941,1.127214
1.262604,1.175534
1.335534,1.185175
1.037902,1.036411
1.242905,1.169570
1.072978,1.067264
1.409457,1.173154
1.404119,1.174809
1.481510,1.138019
1.021561,1.021086
1.119958,1.103842
1.261530,1.175244
1.428102,1.166372
1.443221,1.159707
1.450951,1.155890
1.248505,1.171404
1.011576,1.011441
1.159064,1.129738
1.415980,1.170960
1.289549,1.181435
1.272393,1.177984
1.281553,1.179962
1.450154,1.156297
1.224419,1.162752
1.016075,1.015812
1.411678,1.172429
1.044832,1.042732
1.071351,1.065897
1.083352,1.075825
1.003347,1.003336
1.414334,1.171532
1.140905,1.118253
1.139711,1.117465
1.056470,1.053101
1.034018,1.032821
1.147491,1.122529
1.066616,1.061882
1.066880,1.062108
1.257380,1.174086
1.346163,1.184854
1.427693,1.166537
1.453232,1.154710
1.187939,1.145980
1.371939,1.182147
1.328668,1.185142
1.383170,1.180094
1.223543,1.162401
1.365266,1.183113
1.445953,1.158390
1.198702,1.151374
1.010670,1.010555
1.374125,1.181789
1.439306,1.161534
1.493422,1.129826
1.145658,1.121351
1.058799,1.055138
1.014296,1.014088
1.250241,1.171950
1.169551,1.135929
1.167903,1.134978
1.099651,1.088731
1.161941,1.131469
1.086717,1.078545
1.417548,1.170404
1.039880,1.038226
1.160808,1.130791
1.167465,1.134724
1.006254,1.006214
1.127010,1.108830
1.332497,1.185184
1.316880,1.184648
1.465896,1.147710
1.088133,1.079681
1.204088,1.153936
1.182484,1.143107
1.393537,1.177718
1.252540,1.172657
1.215190,1.158918
1.416247,1.170866
1.243756,1.169856
1.248467,1.171392
1.065076,1.060566
1.286776,1.180951
1.047316,1.044971
1.085511,1.077573
1.257659,1.174165
1.253413,1.172921
1.204373,1.154068
1.481755,1.137858
1.059305,1.055580
1.265838,1.176381
1.072712,1.067041
1.250742,1.172106
1.044995,1.042880
1.151532,1.125090
1.086520,1.078387
1.278769,1.179393
1.407503,1.173775
1.126637,1.108569
1.398837,1.176323
1.106628,1.094046
1.321715,1.184917
1.466786,1.147189
1.431981,1.164762
1.011608,1.011472
1.257473,1.174112
1.121424,1.104890
1.357267,1.184026
1.272272,1.177956
1.397144,1.176782
1.340166,1.185091
1.308331,1.183951
1.287514,1.181083
1.280967,1.179844
1.352027,1.184480
1.499741,1.125194
1.028417,1.027586
1.089644,1.080888
1.132820,1.112836
1.106935,1.094277
1.258787,1.174485
1.215827,1.159192
1.056204,1.052868
1.144711,1.120740
1.369287,1.182553
1.213252,1.158078
1.100181,1.089139
1.363914,1.183286
1.052913,1.049965
1.249357,1.171673
1.356536,1.184096
1.345921,1.184866
1.086232,1.078155
1.130327,1.111128
1.251279,1.172272
1.220130,1.161006
1.022887,1.022351
1.229592,1.164777
1.134499,1.113976
1.106344,1.093832
1.002044,1.002040
1.066128,1.061466
1.472356,1.143843
1.040397,1.038699
1.269633,1.177328
1.029409,1.028519
1.035822,1.034492
1.261971,1.175364
1.372096,1.182122
1.407679,1.173720
1.117594,1.102140
1.151633,1.125154
1.292946,1.181989
1.417145,1.170548
1.265020,1.176170
1.175641,1.139373
1.480797,1.138487
1.275159,1.178614
1.259647,1.174726
1.156139,1.127953
1.177347,1.140317
1.034547,1.033312
1.473675,1.143030
1.053005,1.050047
1.101082,1.089831
1.102442,1.090873
1.363764,1.183305
1.089374,1.080672
1.115237,1.100427
1.378064,1.181094
1.397365,1.176723
1.203975,1.153883
1.300014,1.183002
1.320485,1.184857
1.499460,1.125404
1.432928,1.164359
1.274163,1.178390
1.114351,1.099780
1.028812,1.027958
1.131691,1.112065
1.245065,1.170290
1.203532,1.153675
1.264425,1.176016
1.137407,1.115932
1.362827,1.183420
1.196695,1.150396
1.081579,1.074381
1.432347,1.164607
1.239773,1.168497
1.016391,1.016118
1.072584,1.066933
1.455684,1.153414
1.405156,1.174498
1.364613,1.183198
1.185604,1.144761
1.225679,1.163254
1.004768,1.004745
1.210845,1.157016
1.114825,1.100126
1.398685,1.176365
1.481433,1.138070
1.331494,1.185178
1.202933,1.153394
1.454007,1.154304
1.328110,1.185131
1.470756,1.144820
1.005958,1.005922
1.472689,1.143639
1.484948,1.135726
1.282921,1.180231
1.484158,1.136258
1.465846,1.147739
1.391333,1.178262
1.473474,1.143154
1.232345,1.165818
1.212565,1.157776
1.075173,1.069098
1.325103,1.185050
1.361728,1.183550
1.337668,1.185148
1.496061,1.127916
1.141956,1.118944
1.463462,1.149115
1.259536,1.174695
1.494804,1.128829
1.013342,1.013161
1.406854,1.173977
1.152535,1.125719
1.410473,1.172825
1.185444,1.144677
1.407932,1.173640
1.438963,1.161692
1.097784,1.087287
1.342524,1.185015
1.126032,1.108146
1.104376,1.092345
1.203406,1.153616
1.207172,1.155360
1.049790,1.047187
1.293804,1.182122
1.350536,1.184588
1.190693,1.147395
1.414815,1.171366
1.336439,1.185166
1.370586,1.182358
1.368328,1.182693
1.153082,1.126061
1.294274,1.182193
1.246905,1.170891
1.478377,1.140059
1.015006,1.014778
1.400280,1.175921
1.120307,1.104092
1.440543,1.160965
1.411680,1.172428
1.276136,1.178829
1.120058,1.103914
1.294110,1.182169
1.179275,1.141374
1.003551,1.003539
1.361858,1.183535
1.492260,1.130656
1.385917,1.179510
1.340378,1.185086
1.327606,1.185120
1.115692,1.100759
1.022576,1.022055
1.251697,1.172400
1.357360,1.184017
1.396248,1.177020
1.481314,1.138148
1.470893,1.144737
1.391277,1.178276
1.270743,1.177595
1.240644,1.168799
1.351667,1.184507
1.153526,1.126337
1.397840,1.176595
1.397992,1.176553
1.361067,1.183626
1.103932,1.092007
1.156090,1.127923
1.477212,1.140805
1.280877,1.179826
1.059536,1.055781
1.451248,1.155738
1.469677,1.145471
1.415226,1.171223
1.359812,1.183764
1.438066,1.162099
1.484587,1.135970
1.465350,1.148028
1.101406,1.090080
1.228985,1.164544
1.341345,1.185056
1.401353,1.175617
1.264495,1.176034
1.023883,1.023299
1.254518,1.173251
1.255496,1.173539
1.070734,1.065377
1.099618,1.088706
1.092939,1.083498
1.140455,1.117957
1.461448,1.150256
1.268520,1.177056
1.342471,1.185017
1.205845,1.154751
1.297014,1.182595
1.239275,1.168323
1.095232,1.085299
1.475567,1.141847
1.273976,1.178348
1.382167,1.180299
1.020666,1.020231
1.175333,1.139201
1.077440,1.070979
1.096310,1.086141
1.322736,1.184962
1.008143,1.008076
1.164548,1.133016
1.302860,1.183356
1.431301,1.165049
1.496427,1.127648
1.285419,1.180704
1.105541,1.093227
1.415161,1.171246
1.268825,1.177131
1.365633,1.183065
1.497731,1.126689
1.496489,1.127602
1.227366,1.163917
1.200215,1.152103
1.022565,1.022045
1.416187,1.170887
1.273526,1.178245
1.282929,1.180232
1.036392,1.035019
1.173915,1.138408
1.341073,1.185065
1.438839,1.161748
1.030360,1.029411
1.313547,1.184410
1.459233,1.151488
1.006595,1.006551
1.078143,1.071559
1.205089,1.154401
1.323115,1.184977
1.370355,1.182393
1.334307,1.185183
1.100920,1.089707
1.284777,1.180584
1.213129,1.158024
1.222744,1.162078
1.434494,1.163683
1.337885,1.185144
1.364980,1.183150
1.107690,1.094844
1.048103,1.045677
1.075746,1.069574
